,Associated names,Authority,Bibliography,Culture/period,Curator's comments,Date,Denomination,Description,Inscriptions,Materials,Museum number,Object type,Production place,State,Subjects,Weight (g)
0,Portrait of: Augustus (Octavian),Ruler:  Augustus (Octavian),RPC1 1801,,,27BC-14,,Bronze coin.(obverse) Head of Augustus r.,[],bronze,"1997,1206.1",coin,Minted in: Odessus,Roman Empire,symbol,7.45
1,Portrait of: Augustus (Octavian),Ruler:  Augustus (Octavian),RPC1 5476,Roman Provincial,,27BC-14,,Bronze coin.(obverse) Head of Augustus r.,[],bronze,"2001,0335.3",coin,,Roman Empire,symbol,2.27
2,Named in inscription & portrayed: Julius Caesar,Ruler:  Augustus (Octavian),RPC1 2007,Roman Provincial,,31BC-14,,"Alloy coin.(obverse) Diademed head of Caesar, r.","[{u'Inscription Position': u'reverse', u'Inscription Type': u'inscription'}]",alloy,G.1200,coin,Minted in: Apamea,Roman Empire,emperor/empress,8.36
3,,Ruler:  Augustus (Octavian) (?),,Greek,,27BC-14,,Alloy coin.,,alloy,"1905,1111.1",coin,Minted in: Cremna (?),,,1.49
4,Representation of: Augustus (Octavian),,Walker & Higgs 2001 308,Roman Republican,"The portrait probably dates from the later 30s or early 20s BC, by which time Octavian had abandoned the beard worn as a sign of mourning or vengeance for Caesar's murder, and adopted a style  reminiscent of Hellenistic Greek monarchs.",44BC-40BC,,"Seal of glass paste imitating sard: with a bust of Octavian in intaglio: the head, in profile to the left, shows abundant hair falling on the brow in the style of Hellenistic royal portraits. Behind the fringe is a fillet tied at the nape of the neck. The bust is cropped just below the neck, in the fashion of contemporary portraits in stone. Immediately below the bust is a Capricorn; balanced on its back is a theatrical mask and above that a cornucopia.",,glass,"1923,0401.928",seal,,,,
5,Representation of: Augustus (Octavian) (?),,Sculpture 1876,Roman,,27BC-14,,Marble portrait head of youthful Augustus(?).,,marble,"1873,0820.729",portrait head,,,,
6,,Ruler:  Augustus (Octavian),,Greek,,27BC-14,,Alloy coin.,,alloy,"1936,0220.13",coin,Minted in: Tyndaris,,,7.41
7,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,G.329,coin,Minted in: Africa,Roman Empire,,29.02
8,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,G.328,coin,Minted in: Mauretania,Roman Empire,,27.54
9,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,G.312,coin,Minted in: Sabratha,Roman Empire,,6.16
10,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,G.310,coin,Minted in: Sabratha,Roman Empire,,8.98
11,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,G.309,coin,Minted in: Sabratha,Roman Empire,,8.35
12,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,G.308,coin,Minted in: Sabratha,Roman Empire,,10.73
13,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,G.314,coin,Minted in: Sabratha,Roman Empire,,16.53
14,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,G.281,coin,Minted in: Africa,Roman Empire,,2.12
15,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,G.280,coin,Minted in: Africa,Roman Empire,,2.52
16,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,G.279,coin,Minted in: Africa,Roman Empire,,1.97
17,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,G.278,coin,Minted in: Africa,Roman Empire,,2.37
18,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,G.289,coin,Minted in: Africa,Roman Empire,,2.5
19,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,G.288,coin,Minted in: Africa,Roman Empire,,1.47
20,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,G.287,coin,Minted in: Africa,Roman Empire,,1.16
21,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,G.286,coin,Minted in: Africa,Roman Empire,,3.44
22,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,G.285,coin,Minted in: Africa,Roman Empire,,4.7
23,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,G.283,coin,Minted in: Africa,Roman Empire,,3.5
24,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1898,1005.5",coin,,Roman Empire,,8.54
25,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1903,0604.22",coin,,Roman Empire,,14.78
26,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1885,0606.355",coin,,Roman Empire,,4.64
27,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1924,1209.1",coin,,Roman Empire,,8.18
28,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1978,1002.1",coin,,Roman Empire,,5.9
29,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,G.282,coin,Minted in: Africa,Roman Empire,,3.46
30,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,G.664,coin,Minted in: Patrae,Roman Empire,,10.01
31,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,G.663,coin,Minted in: Patrae,Roman Empire,,2.9
32,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,G.1194,coin,Minted in: Corinth,Roman Empire,,11.56
33,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,G.1188,coin,Minted in: Pella,Roman Empire,,13.11
34,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,G.627,coin,Minted in: Nicopolis,Roman Empire,,7.14
35,Named in inscription & portrayed: Augustus (Octavian),Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,"Bronze coin.(obverse) Head of Augustus r., laureate.","[{u'Inscription Script': u'Greek', u'Inscription Position': u'reverse', u'Inscription Language': u'Greek', u'Inscription Transliteration': u'NIKOPOLEUS IE', u'Inscription Type': u'inscription'}]",bronze,"1993,0334.1",coin,Minted in: Nicopolis,Roman Empire,mammal,5.95
36,Representation of: Rhoemetalces I,Ruler:  Rhoemetalces I,RPC1 1710,,,27BC-14,,Bronze coin.(obverse) Jugate heads of Rhoemetalces and Augustus r.,[],bronze,"1999,0508.3",coin,Minted in: Thrace,Roman Empire,emperor/empress,6.48
37,,Ruler:  Augustus (Octavian),,Roman,,27BC-14,,Silver fake(modern).,,silver,R.376,forgery (modern),Minted in: Spain,,,3.28
38,Named in inscription & portrayed: Tiberius,Ruler:  Augustus (Octavian),"RIC1 226, p.56",Roman Imperial,This denarius marks the definitive adoption and ensuing appointment of Tiberius as Augustus' heir.,13-14,denarius,"Silver coin.(obverse) Head of Augustus, laureate, right.","[{u'Inscription Content': u'[TI] CAESAR.AVG F.TR.POT.XV', u'Inscription Position': u'reverse', u'Inscription Language': u'Latin', u'Inscription Comment': u'anti-clockwise', u'Inscription Type': u'inscription'}]",silver,"1860,0330.25",coin,Minted in: Lugdunum,Roman Empire,emperor/empress,3.87
