"URI","Title","RecordId","Authority","Coin Type URI","Date on Object","Degree","Deity","Denomination","Department","Diameter","Dynasty","Engraver","Era","Findspot","Findspot URI","Issuer","Maker","Manufacture","Material","Mint","Obverse Legend","Obverse Type","Object Type","Portrait","Reference","Region","Reverse Legend","Reverse Type","Weight","Year","Date Record Modified"
"http://numismatics.org/search/id/1944.100.39200","RIC I (second edition) Augustus 486. 1944.100.39200","1944.100.39200","Augustus","http://numismatics.org/ocre/id/ric.1(2).aug.486","","","","As","Roman","25.5","","","","","","","","Struck","Bronze","Ephesus","CAESAR","Augustus head right","Coin","Augustus","RIC I (second edition) Augustus 486","Ionia","AVGVSTVS","legend within wreath","11.1","-25","2016-10-21T21:56:03Z"
"http://numismatics.org/search/id/1944.100.39204","RIC I (second edition) Augustus 486. 1944.100.39204","1944.100.39204","Augustus","http://numismatics.org/ocre/id/ric.1(2).aug.486","","","","As","Roman","24.0","","","","","","","","Struck","Bronze","Ephesus","CAESAR","Augustus head right","Coin","Augustus","RIC I (second edition) Augustus 486","Ionia","AVGVSTVS","legend within wreath","11.87","-25","2016-10-21T21:56:05Z"
"http://numismatics.org/search/id/1944.100.39205","RIC I (second edition) Augustus 486. 1944.100.39205","1944.100.39205","Augustus","http://numismatics.org/ocre/id/ric.1(2).aug.486","","","","As","Roman","","","","","","","","","Struck","Bronze","Ephesus","CAESAR","Augustus head right","Coin","Augustus","RIC I (second edition) Augustus 486","Ionia","AVGVSTVS","legend within wreath","10.52","-25","2016-10-21T21:56:05Z"
"http://numismatics.org/search/id/1944.100.39206","RIC I (second edition) Augustus 486. 1944.100.39206","1944.100.39206","Augustus","http://numismatics.org/ocre/id/ric.1(2).aug.486","","","","As","Roman","24.5","","","","","","","","Struck","Bronze","Ephesus","CAESAR","Augustus head right","Coin","Augustus","RIC I (second edition) Augustus 486","Ionia","AVGVSTVS","legend within wreath","11.42","-25","2016-10-21T21:56:06Z"
"http://numismatics.org/search/id/1944.100.39207","RIC I (second edition) Augustus 486. 1944.100.39207","1944.100.39207","Augustus","http://numismatics.org/ocre/id/ric.1(2).aug.486","","","","As","Roman","24.5","","","","","","","","Struck","Bronze","Ephesus","CAESAR","Augustus head right","Coin","Augustus","RIC I (second edition) Augustus 486","Ionia","AVGVSTVS","legend within wreath","11.02","-25","2016-10-21T21:56:06Z"
"http://numismatics.org/search/id/1952.142.117","RIC I (second edition) Augustus 486. 1952.142.117","1952.142.117","Augustus","http://numismatics.org/ocre/id/ric.1(2).aug.486","","","","As","Roman","27.0","","","","","","","","Struck","Bronze","Ephesus","CAESAR","","Coin","Augustus","BMC.731|RIC I (second edition) Augustus 486","Ionia","AVGVSTVS","","10.92","-25","2016-07-01T16:50:51Z"
"http://numismatics.org/search/id/1952.142.118","RIC I (second edition) Augustus 486. 1952.142.118","1952.142.118","Augustus","http://numismatics.org/ocre/id/ric.1(2).aug.486","","","","As","Roman","24.5","","","","","","","","Struck","Bronze","Ephesus","CAESAR","","Coin","Augustus","BMC.731|RIC I (second edition) Augustus 486","Ionia","AVGVSTVS","","8.84","-25","2016-07-01T16:50:52Z"
"http://numismatics.org/search/id/1957.172.1489","RIC I (second edition) Augustus 50A. 1957.172.1489","1957.172.1489","Augustus","http://numismatics.org/ocre/id/ric.1(2).aug.50A","","","","Aureus","Roman","20.0","","","","","","","","Struck","Gold","Colonia Patricia","","","Coin","Augustus","BMC.345v|RIC I (second edition) Augustus 50A","Lusitania","","","3.66","-20|-19","2016-07-01T16:52:49Z"
"http://numismatics.org/search/id/0000.999.16779","Gold Aureus of Augustus, Lugdunum, 9 BC. 0000.999.16779","0000.999.16779","Augustus","http://numismatics.org/ocre/id/ric.1(2).aug.200","","","","Aureus","Roman","19.5","","","","","","","","Struck","Gold","Lugdunum","AVGVSTVS DIVI F","Head of Augustus, laureate, right","Coin","Augustus","BMC.492|RIC I (second edition) Augustus 200","Gallia","IMP XIIII","Augustus, togate, seated left on platform, receiving child from standing barbarian","7.88","-9","2017-03-03T15:57:41Z"
"http://numismatics.org/search/id/1944.27.9","Bronze Denarius of Augustus, 27 BC - AD 14. 1944.27.9","1944.27.9","Augustus","","","","","Denarius","Roman","","","","","","","Augustus","","","Bronze","","AVGVSTVS DIVI F","Bare head r.","Cf","Augustus","","","IMP X ACT","Female figure standing","","-26|14","2014-04-12T17:34:38.625Z"
