,emperorDisplayed,radiate sum,radiate min,radiate count,StartDate sum,StartDate min,StartDate count,radiate ratio
109,Martinianus,8,1,8,2568.0,321.0,8,100.0
38,"Constantine I, Constantine II",2,0,6,1914.0,317.0,6,33.333333333333336
41,Constantine II,48,0,2094,685142.0,316.0,2094,2.292263610315186
98,Licinius,114,0,1911,601213.0,308.0,1911,5.965463108320251
37,Constantine I,44,0,6633,2125890.0,305.0,6633,0.6633499170812603
112,Maximinus Daia,7,0,1194,368901.0,305.0,1194,0.5862646566164154
140,Severus II,18,0,209,63814.0,305.0,209,8.61244019138756
1,Allectus,241,0,251,73543.0,293.0,251,96.01593625498008
46,"Constantius Chlorus, Galerius",1,0,7,2141.0,293.0,7,14.285714285714286
24,Carausius,584,0,601,171886.0,286.0,601,97.17138103161398
53,"Diocletian, Maximian",20,0,29,8457.0,284.0,29,68.96551724137932
52,Diocletian,902,0,2365,698586.0,284.0,2365,38.13953488372093
111,Maximian,529,0,1932,576430.0,284.0,1932,27.38095238095238
43,Constantius Chlorus,109,0,1298,390506.0,284.0,1298,8.397534668721109
66,Galerius,115,0,1886,572598.0,284.0,1886,6.097560975609756
27,"Carinus, Numerian",18,0,22,6226.0,283.0,22,81.81818181818181
120,Numerian,143,0,147,41557.0,282.0,147,97.27891156462584
25,Carinus,187,0,212,59933.0,282.0,212,88.20754716981132
26,"Carinus, Carus",1,0,3,846.0,282.0,3,33.333333333333336
28,Carus,120,0,135,38079.0,282.0,135,88.88888888888889
130,Probus,1072,0,1184,326809.0,276.0,1184,90.54054054054055
64,Florianus,52,0,63,17388.0,276.0,63,82.53968253968254
141,Tacitus,158,0,173,47575.0,275.0,173,91.32947976878613
142,Tetricus I,1095,0,1120,303534.0,271.0,1120,97.76785714285714
134,Quintillus,71,1,71,19170.0,270.0,71,100.0
17,Aurelian,587,0,668,180364.0,270.0,668,87.87425149700599
93,Laelianus,8,0,10,2690.0,269.0,10,80.0
108,Marius,25,0,27,7263.0,269.0,27,92.5925925925926
161,Victorinus,897,0,918,246942.0,269.0,918,97.7124183006536
135,Regalianus,5,1,5,1300.0,260.0,5,100.0
133,Quietus,18,0,20,5200.0,260.0,20,90.0
101,Macrianus Minor,15,0,17,4420.0,260.0,17,88.23529411764706
128,Postumus,470,0,563,146653.0,259.0,563,83.48134991119005
137,Saloninus,30,0,45,11539.0,255.0,45,66.66666666666667
0,Aemilian,43,0,67,16951.0,253.0,67,64.17910447761194
68,"Gallienus, Valerian",17,0,19,4851.0,253.0,19,89.47368421052632
157,Valerian,117,0,195,49778.0,253.0,195,60.0
67,Gallienus,636,0,778,201295.0,253.0,778,81.74807197943444
163,Volusian,113,0,168,42218.0,251.0,168,67.26190476190476
85,Hostilian,18,0,35,8785.0,251.0,35,51.42857142857143
82,Herennius Etruscus,63,0,81,20252.0,250.0,81,77.77777777777777
151,Trajan Decius,117,0,139,34620.0,249.0,139,84.1726618705036
87,Jotapianus,2,1,2,496.0,248.0,2,100.0
123,Pacatianus,5,1,5,1240.0,248.0,5,100.0
127,Philip the Arab,342,0,458,112594.0,244.0,458,74.67248908296943
75,Gordian III,1261,0,1601,385344.0,238.0,1601,78.7632729544035
132,Pupienus,26,0,106,25228.0,238.0,106,24.528301886792452
113,Maximinus Thrax,34,0,504,118687.0,235.0,504,6.746031746031746
61,Elagabalus,61,0,735,160682.0,218.0,735,8.299319727891156
102,Macrinus,16,0,183,39727.0,217.0,183,8.743169398907105
49,Diadumenian,1,0,57,12369.0,217.0,57,1.7543859649122806
70,Geta,10,0,477,97617.0,198.0,477,2.0964360587002098
20,Caracalla,165,0,1675,348606.0,196.0,1675,9.850746268656716
124,Pertinax,11,0,69,13317.0,193.0,69,15.942028985507246
139,Septimius Severus,27,0,1859,368676.0,193.0,1857,1.4523937600860677
51,Didius Julianus,4,0,38,7334.0,193.0,38,10.526315789473685
32,Commodus,76,0,3295,609226.0,172.0,3295,2.306525037936267
100,"Lucius Verus, Marcus Aurelius",22,0,120,19341.0,161.0,120,18.333333333333332
99,Lucius Verus,33,0,633,103867.0,161.0,633,5.213270142180095
107,Marcus Aurelius,163,0,3365,555859.0,140.0,3365,4.843982169390787
5,"Antoninus Pius, Marcus Aurelius",4,0,104,14545.0,139.0,104,3.8461538461538463
4,Antoninus Pius,202,0,3349,496635.0,138.0,3349,6.031651239175873
81,"Hadrian, Trajan",1,0,47,5554.0,117.0,47,2.127659574468085
80,Hadrian,111,0,3999,508121.0,117.0,3999,2.7756939234808704
150,Trajan,238,0,2839,300283.0,98.0,2839,8.383233532934131
118,Nerva,40,0,360,35332.0,96.0,360,11.11111111111111
56,Domitian,173,0,2265,192803.0,71.0,2265,7.637969094922737
148,Titus,73,0,1014,79111.0,70.0,1014,7.199211045364891
159,Vespasian,186,0,2305,169791.0,69.0,2305,8.06941431670282
117,Nero,131,0,1432,88725.0,50.0,1432,9.14804469273743
16,"Augustus, Tiberius",1,0,27,368.0,13.0,27,3.7037037037037037
10,Augustus,428,0,2728,-8393.0,-31.0,2728,15.689149560117302
