,emperorDisplayed,StartDate min,radiate sum,sol sum,percentage
13,Lucius Verus,161.0,2,26,7.6923076923076925
2,Caracalla,196.0,27,99,27.272727272727273
8,Elagabalus,218.0,3,48,6.25
12,Gordian III,238.0,65,86,75.5813953488372
26,Valerian,253.0,28,41,68.29268292682927
11,Gallienus,253.0,48,67,71.64179104477611
19,Postumus,259.0,15,20,75.0
23,Regalianus,260.0,1,1,100.0
21,Quietus,260.0,5,5,100.0
14,Macrianus Minor,260.0,4,4,100.0
15,Marius,269.0,2,2,100.0
27,Victorinus,269.0,263,264,99.62121212121212
22,Quintillus,270.0,3,3,100.0
1,Aurelian,270.0,159,199,79.89949748743719
25,Tetricus I,271.0,108,108,100.0
24,Tacitus,275.0,3,3,100.0
9,Florianus,276.0,2,5,40.0
20,Probus,276.0,152,168,90.47619047619048
18,Numerian,282.0,5,5,100.0
4,Carus,282.0,15,15,100.0
7,Diocletian,284.0,4,7,57.142857142857146
6,Constantius Chlorus,284.0,1,4,25.0
16,Maximian,284.0,4,5,80.0
10,Galerius,284.0,2,77,2.5974025974025974
3,Carausius,286.0,5,5,100.0
0,Allectus,293.0,4,7,57.142857142857146
5,Constantine I,305.0,1,2347,0.04260758414997869
17,Maximinus Daia,305.0,7,57,12.280701754385966
