,emperorDisplayed,StartDate min,radiate sum,god sum
0,Augustus,-31.0,0,10
1,Nero,50.0,0,76
2,Vitellius,69.0,0,11
3,Vespasian,69.0,0,47
4,Otho,69.0,0,2
5,Titus,70.0,0,18
6,Domitian,71.0,0,77
7,Trajan,98.0,3,36
8,Hadrian,117.0,0,41
9,Antoninus Pius,138.0,5,19
10,Marcus Aurelius,140.0,12,55
11,Commodus,172.0,1,206
12,Clodius Albinus,193.0,0,1
13,Septimius Severus,193.0,0,83
14,Pescennius Niger,193.0,0,1
15,Caracalla,196.0,24,84
16,Geta,198.0,0,1
17,Macrinus,217.0,3,30
18,Elagabalus,218.0,1,20
19,Gordian III,238.0,83,98
20,Pupienus,238.0,0,2
21,Valerian,253.0,6,11
22,Aemilian,253.0,4,8
23,Gallienus,253.0,30,35
24,Saloninus,255.0,2,2
25,Postumus,259.0,22,23
26,Macrianus Minor,260.0,3,3
27,Regalianus,260.0,1,1
28,Quietus,260.0,1,1
29,Victorinus,269.0,1,1
30,Aurelian,270.0,76,76
31,Tetricus I,271.0,0,1
32,Tacitus,275.0,8,8
33,Probus,276.0,202,202
34,Florianus,276.0,5,5
35,Carus,282.0,43,43
36,Numerian,282.0,56,56
37,Carinus,282.0,86,86
38,"Carinus, Numerian",283.0,17,17
39,Galerius,284.0,84,138
40,Constantius Chlorus,284.0,64,69
41,Maximian,284.0,298,307
42,Diocletian,284.0,672,755
43,Carausius,286.0,7,8
44,Allectus,293.0,1,1
45,Severus II,305.0,18,18
46,Maximinus Daia,305.0,0,100
47,Constantine I,305.0,28,509
48,Domitius Alexander,308.0,0,2
49,Licinius,308.0,110,995
50,Valerius Valens,316.0,0,1
51,Constantine II,316.0,0,41
52,Martinianus,321.0,8,8
