,emperorDisplayed,StartDate min,radiate sum,god sum
0,Augustus,-31.0,0,67
1,Nero,50.0,0,52
2,Galba,68.0,0,1
3,Vespasian,69.0,1,100
4,Vitellius,69.0,0,32
5,Titus,70.0,0,21
6,Domitian,71.0,9,24
7,Trajan,98.0,1,168
8,Hadrian,117.0,0,36
9,Antoninus Pius,138.0,3,29
10,Marcus Aurelius,140.0,7,266
11,Lucius Verus,161.0,9,81
12,Commodus,172.0,1,120
13,Clodius Albinus,193.0,0,1
14,Septimius Severus,193.0,0,67
15,Caracalla,196.0,11,167
16,Geta,198.0,0,10
17,Elagabalus,218.0,5,20
18,Maximinus Thrax,235.0,0,4
19,Gordian III,238.0,50,63
20,Philip the Arab,244.0,3,8
21,Trajan Decius,249.0,0,12
22,Herennius Etruscus,250.0,1,1
23,Hostilian,251.0,3,3
24,Volusian,251.0,3,3
25,Aemilian,253.0,5,5
26,Gallienus,253.0,35,38
27,Postumus,259.0,42,45
28,Victorinus,269.0,1,1
29,Aurelian,270.0,10,18
30,Quintillus,270.0,3,3
31,Tetricus I,271.0,3,3
32,Tacitus,275.0,25,28
33,Probus,276.0,56,64
34,Florianus,276.0,3,4
35,Carus,282.0,0,1
36,Numerian,282.0,8,8
37,Constantius Chlorus,284.0,0,4
38,Diocletian,284.0,1,7
39,Maximian,284.0,0,3
40,Galerius,284.0,0,12
41,Carausius,286.0,15,15
42,Allectus,293.0,5,6
43,Maximinus Daia,305.0,0,28
44,Constantine I,305.0,0,265
45,Severus II,305.0,0,12
46,Maxentius,306.0,0,8
47,Licinius,308.0,0,16
48,Constantine II,316.0,0,1
